drug,location,dosage,quantity,pharmacy,price,special_offer,standard_coupon_price,special_coupon_price,online_pharmacy,city
Atorvastatin,10001,40mg,30 tablets,CVS Pharmacy,19.67,special offers,28.77,19.67,False,New York
Atorvastatin,10001,40mg,30 tablets,Walgreens,11.72,special offers,21.72,11.72,False,New York
Atorvastatin,10001,40mg,30 tablets,ShopRite,10.34,no special offer,,,False,New York
Atorvastatin,10001,40mg,30 tablets,Walmart,7.74,special offers,15.24,7.74,False,New York
Atorvastatin,10001,40mg,30 tablets,Duane Reade,11.72,special offers,21.72,11.72,False,New York
Atorvastatin,10001,40mg,30 tablets,Target (CVS),19.67,special offers,28.77,19.67,False,New York
Atorvastatin,10001,40mg,30 tablets,Costco,16.66,special offers,21.66,16.66,False,New York
Atorvastatin,10001,40mg,30 tablets,Acme Markets Pharmacy Pay online,7.53,special offers,49.99,7.53,True,New York
Atorvastatin,10001,40mg,30 tablets,Capsule Pharmacy,17.93,no special offer,,,False,New York
Atorvastatin,10001,40mg,30 tablets,Wegmans,6.89,special offers,12.39,6.89,False,New York
Atorvastatin,10001,40mg,30 tablets,ACME Sav-On Pay online,7.53,special offers,49.99,7.53,True,New York
Atorvastatin,10001,40mg,30 tablets,Walgreens Specialty Pharmacy,11.72,special offers,21.72,11.72,False,New York
Atorvastatin,10001,40mg,30 tablets,Walmart Neighborhood Market,7.74,special offers,15.24,7.74,False,New York
Atorvastatin,10001,40mg,30 tablets,King Kullen,6.79,special offers,10.34,6.79,False,New York
Atorvastatin,10001,40mg,30 tablets,Rite Aid,11.89,no special offer,,,False,New York
Atorvastatin,90001,40mg,30 tablets,CVS Pharmacy,19.67,special offers,28.77,19.67,False,Los Angeles
Atorvastatin,90001,40mg,30 tablets,Walgreens,11.72,special offers,21.72,11.72,False,Los Angeles
Atorvastatin,90001,40mg,30 tablets,Vons Pharmacy Pay online,7.53,special offers,49.99,7.53,True,Los Angeles
Atorvastatin,90001,40mg,30 tablets,Walmart,7.74,special offers,15.24,7.74,False,Los Angeles
Atorvastatin,90001,40mg,30 tablets,Albertsons (Sav-on) Pay online,7.53,special offers,49.99,7.53,True,Los Angeles
Atorvastatin,90001,40mg,30 tablets,Costco,16.66,special offers,21.66,16.66,False,Los Angeles
Atorvastatin,90001,40mg,30 tablets,Target (CVS),19.67,special offers,28.77,19.67,False,Los Angeles
Atorvastatin,90001,40mg,30 tablets,Walmart Neighborhood Market,7.74,special offers,15.24,7.74,False,Los Angeles
Atorvastatin,90001,40mg,30 tablets,Ralphs,10.54,no special offer,,,False,Los Angeles
Atorvastatin,90001,40mg,30 tablets,Pavilions Pharmacy Pay online,7.53,special offers,49.99,7.53,True,Los Angeles
Atorvastatin,90001,40mg,30 tablets,Walgreens Specialty Pharmacy,11.72,special offers,21.72,11.72,False,Los Angeles
Atorvastatin,90001,40mg,30 tablets,Capsule Pharmacy,17.93,no special offer,,,False,Los Angeles
Atorvastatin,90001,40mg,30 tablets,Rite Aid,11.89,no special offer,,,False,Los Angeles
Atorvastatin,60601,40mg,30 tablets,Walgreens,11.72,special offers,21.72,11.72,False,Chicago
Atorvastatin,60601,40mg,30 tablets,Jewel-Osco,7.53,special offers,49.99,7.53,False,Chicago
Atorvastatin,60601,40mg,30 tablets,CVS Pharmacy,19.67,special offers,28.77,19.67,False,Chicago
Atorvastatin,60601,40mg,30 tablets,Meijer Pharmacy,10.25,no special offer,,,False,Chicago
Atorvastatin,60601,40mg,30 tablets,Walmart,7.74,special offers,15.24,7.74,False,Chicago
Atorvastatin,60601,40mg,30 tablets,Target (CVS),19.67,special offers,28.77,19.67,False,Chicago
