drug,location,dosage,quantity,pharmacy,price,special_offer,standard_coupon_price,special_coupon_price
Atorvastatin,10001,40mg,30 tablets,CVS Pharmacy,$19.67,Special offers,28.77,19.67
Atorvastatin,10001,40mg,30 tablets,Walgreens,$11.72,Special offers,21.72,11.72
Atorvastatin,10001,40mg,30 tablets,ShopRite,$10.34,No special offer,N/A,N/A
Atorvastatin,10001,40mg,30 tablets,Walmart,$7.74,Special offers,15.24,7.74
Atorvastatin,10001,40mg,30 tablets,Duane Reade,$11.72,Special offers,21.72,11.72
Atorvastatin,10001,40mg,30 tablets,Target (CVS),$19.67,Special offers,28.77,19.67
Atorvastatin,10001,40mg,30 tablets,Costco,$16.66,Special offers,21.66,16.66
Atorvastatin,10001,40mg,30 tablets,"Acme Markets Pharmacy
Pay online",$7.53,Special offers,49.99,7.53
Atorvastatin,10001,40mg,30 tablets,Capsule Pharmacy,$17.93,No special offer,N/A,N/A
Atorvastatin,10001,40mg,30 tablets,Wegmans,$6.89,Special offers,12.39,6.89
Atorvastatin,10001,40mg,30 tablets,"ACME Sav-On
Pay online",$7.53,Special offers,49.99,7.53
Atorvastatin,10001,40mg,30 tablets,Walgreens Specialty Pharmacy,$11.72,Special offers,21.72,11.72
Atorvastatin,10001,40mg,30 tablets,Walmart Neighborhood Market,$7.74,Special offers,15.24,7.74
Atorvastatin,10001,40mg,30 tablets,King Kullen,$6.79,Special offers,10.34,6.79
Atorvastatin,10001,40mg,30 tablets,Rite Aid,$11.89,No special offer,N/A,N/A
Atorvastatin,90001,40mg,30 tablets,CVS Pharmacy,$19.67,Special offers,28.77,19.67
Atorvastatin,90001,40mg,30 tablets,Walgreens,$11.72,Special offers,21.72,11.72
Atorvastatin,90001,40mg,30 tablets,"Vons Pharmacy
Pay online",$7.53,Special offers,49.99,7.53
Atorvastatin,90001,40mg,30 tablets,Walmart,$7.74,Special offers,15.24,7.74
Atorvastatin,90001,40mg,30 tablets,"Albertsons (Sav-on)
Pay online",$7.53,Special offers,49.99,7.53
Atorvastatin,90001,40mg,30 tablets,Costco,$16.66,Special offers,21.66,16.66
Atorvastatin,90001,40mg,30 tablets,Target (CVS),$19.67,Special offers,28.77,19.67
Atorvastatin,90001,40mg,30 tablets,Walmart Neighborhood Market,$7.74,Special offers,15.24,7.74
Atorvastatin,90001,40mg,30 tablets,Ralphs,$10.54,No special offer,N/A,N/A
Atorvastatin,90001,40mg,30 tablets,"Pavilions Pharmacy
Pay online",$7.53,Special offers,49.99,7.53
Atorvastatin,90001,40mg,30 tablets,Walgreens Specialty Pharmacy,$11.72,Special offers,21.72,11.72
Atorvastatin,90001,40mg,30 tablets,Capsule Pharmacy,$17.93,No special offer,N/A,N/A
Atorvastatin,90001,40mg,30 tablets,Rite Aid,$11.89,No special offer,N/A,N/A
Atorvastatin,60601,40mg,30 tablets,Walgreens,$11.72,Special offers,21.72,11.72
Atorvastatin,60601,40mg,30 tablets,Jewel-Osco,$7.53,Special offers,49.99,7.53
Atorvastatin,60601,40mg,30 tablets,CVS Pharmacy,$19.67,Special offers,28.77,19.67
Atorvastatin,60601,40mg,30 tablets,Meijer Pharmacy,$10.25,No special offer,N/A,N/A
Atorvastatin,60601,40mg,30 tablets,Walmart,$7.74,Special offers,15.24,7.74
Atorvastatin,60601,40mg,30 tablets,Target (CVS),$19.67,Special offers,28.77,19.67
Atorvastatin,60601,40mg,30 tablets,Costco,$16.66,Special offers,21.66,16.66
Atorvastatin,60601,40mg,30 tablets,Mariano's,$10.54,No special offer,N/A,N/A
Atorvastatin,60601,40mg,30 tablets,Walgreens Specialty Pharmacy,$11.72,Special offers,21.72,11.72
Atorvastatin,60601,40mg,30 tablets,Walmart Neighborhood Market,$7.74,Special offers,15.24,7.74
Atorvastatin,60601,40mg,30 tablets,Aurora Pharmacy,$8.99,No special offer,N/A,N/A
Atorvastatin,60601,40mg,30 tablets,Capsule Pharmacy,$17.93,No special offer,N/A,N/A
Lisinopril,10001,20mg,30 tablets,CVS Pharmacy,$8.57,Special offers,23.57,8.57
Lisinopril,10001,20mg,30 tablets,Walgreens,$4.83,Special offers,17.33,4.83
Lisinopril,10001,20mg,30 tablets,ShopRite,$5.85,Special offers,9.84,5.85
Lisinopril,10001,20mg,30 tablets,Target (CVS),$8.57,Special offers,23.57,8.57
Lisinopril,10001,20mg,30 tablets,"Acme Markets Pharmacy
Pay online",$2.00,Special offers,8.16,2.00
Lisinopril,10001,20mg,30 tablets,Duane Reade,$4.83,Special offers,17.33,4.83
Lisinopril,10001,20mg,30 tablets,Capsule Pharmacy,$17.34,No special offer,N/A,N/A
Lisinopril,10001,20mg,30 tablets,Costco,$8.66,Special offers,13.66,8.66
Lisinopril,10001,20mg,30 tablets,Wegmans,$3.25,Special offers,7.75,3.25
Lisinopril,10001,20mg,30 tablets,"ACME Sav-On
Pay online",$2.00,Special offers,8.16,2.00
Lisinopril,10001,20mg,30 tablets,Sams Club,$7.84,Special offers,10.34,7.84
Lisinopril,10001,20mg,30 tablets,Walmart,$9.00,No special offer,N/A,N/A
Lisinopril,10001,20mg,30 tablets,Walgreens Specialty Pharmacy,$4.83,Special offers,17.33,4.83
Lisinopril,90001,20mg,30 tablets,CVS Pharmacy,$8.57,Special offers,23.57,8.57
Lisinopril,60601,20mg,30 tablets,Walgreens,$4.83,Special offers,17.33,4.83
Lisinopril,60601,20mg,30 tablets,Jewel-Osco,$2.00,Special offers,8.16,2.00
Lisinopril,60601,20mg,30 tablets,CVS Pharmacy,$8.57,Special offers,23.57,8.57
Lisinopril,60601,20mg,30 tablets,Meijer Pharmacy,$8.47,No special offer,N/A,N/A
Lisinopril,60601,20mg,30 tablets,Target (CVS),$8.57,Special offers,23.57,8.57
Lisinopril,60601,20mg,30 tablets,Costco,$8.66,Special offers,13.66,8.66
Lisinopril,60601,20mg,30 tablets,Walmart,$9.00,No special offer,N/A,N/A
Lisinopril,60601,20mg,30 tablets,Mariano's,$7.79,No special offer,N/A,N/A
Lisinopril,60601,20mg,30 tablets,Sams Club,$7.84,Special offers,10.34,7.84
Lisinopril,60601,20mg,30 tablets,Aurora Pharmacy,$5.92,No special offer,N/A,N/A
Lisinopril,60601,20mg,30 tablets,Walmart Neighborhood Market,$9.00,No special offer,N/A,N/A
Lisinopril,60601,20mg,30 tablets,Walgreens Specialty Pharmacy,$4.83,Special offers,17.33,4.83
